Potra	Potri	AT_best_hit	AT_Gene_Names	AT_description
Potra2n1c102	Potri.001G009700	AT3G13670	ATPPK1	ATPPK1
Potra2n1c103	Potri.001G010300	AT3G58060	ATMTP8	ATMTP8
Potra2n1c104	Potri.001G010400	AT4G10620	None	AT4G10620
Potra2n3c6539	Potri.001G010400	None	None	None
Potra2n1c106	Potri.001G010600	AT1G05575	ATHUP17	ATHUP17
Potra2n1c105	Potri.001G010700	AT3G45240	ATGRIK1	ATGRIK1
Potra2n3c6541	Potri.001G010700	AT3G45240	ATGRIK1	ATGRIK1
Potra2n1c107	Potri.001G010800	AT1G50480	ATTHFS	ATTHFS
Potra2n1c108	Potri.001G010900	AT5G06700	ATTBR	ATTBR
Potra2n1c109	Potri.001G011000	AT4G08780	None	AT4G08780
Potra2n1c111	Potri.001G011000	AT3G49120	ATPRXCB	ATPRXCB
Potra2n1c112	Potri.001G011500	AT5G06720	ATPA2	ATPA2
Potra2n1c113	Potri.001G011500	AT5G06720	ATPA2	ATPA2
Potra2n1c114	Potri.001G011700	AT1G51110	ATFBN10	ATFBN10
Potra2n1c116	Potri.001G011800	AT5G19900	None	AT5G19900
Potra2n1c117	Potri.001G011900	AT3G07160	None	AT3G07160
Potra2n1c118	Potri.001G012200	AT5G13000	ATGSL12	ATGSL12
Potra2n1c119	Potri.001G012300	None	None	None
Potra2n1c123	Potri.001G012600	None	None	None
Potra2n766s36719	Potri.001G012600	None	None	None
Potra2n127s34647	Potri.001G012700	AT3G12120	ATFAD2	ATFAD2
Potra2n766s36721	Potri.001G012700	AT3G12120	ATFAD2	ATFAD2
Potra2n127s34648	Potri.001G012800	AT2G18220	ATNOC2	ATNOC2
Potra2n766s36722	Potri.001G012800	AT2G18220	ATNOC2	ATNOC2
Potra2n127s34649	Potri.001G013200	AT3G12130	ATKHZ1	ATKHZ1
Potra2n766s36723	Potri.001G013200	AT3G12130	ATKHZ1	ATKHZ1
Potra2n127s34650	Potri.001G013300	AT1G73240	None	AT1G73240
Potra2n1490s37101	Potri.001G013300	AT1G73240	None	AT1G73240
Potra2n3c6558	Potri.001G013300	AT1G73240	None	AT1G73240
Potra2n127s34651	Potri.001G013400	AT5G19640	ATNPF7.1	ATNPF7.1
Potra2n127s34652	Potri.001G013500	AT2G05990	ATMOD1	ATMOD1
Potra2n127s34653	Potri.001G013600	AT3G57980	None	AT3G57980
Potra2n127s34655	Potri.001G013700	AT5G19630	None	AT5G19630
Potra2n127s34656	Potri.001G013800	AT5G13020	ATEML3	ATEML3
Potra2n127s34657	Potri.001G014000	AT1G04640	ATLIP2	ATLIP2
Potra2n127s34660	Potri.001G014500	None	None	None
Potra2n127s34659	Potri.001G014600	AT5G24080	None	AT5G24080
Potra2n127s34661	Potri.001G014700	AT5G24080	None	AT5G24080
Potra2n127s34663	Potri.001G014900	None	None	None
Potra2n127s34664	Potri.001G015000	None	None	None
Potra2n1c328	Potri.001G015300	AT3G45140	ATLOX2	ATLOX2
Potra2n1c327	Potri.001G015400	AT3G45140	ATLOX2	ATLOX2
Potra2n432s35661	Potri.001G015400	AT3G45140	ATLOX2	ATLOX2
Potra2n660s36323	Potri.001G015400	AT3G45140	ATLOX2	ATLOX2
Potra2n1c124	Potri.001G015500	AT3G45140	ATLOX2	ATLOX2
Potra2n432s35660	Potri.001G015500	AT3G45140	ATLOX2	ATLOX2
Potra2n1c126	Potri.001G015700	AT5G12970	ATMCTP5	ATMCTP5
Potra2n3c6590	Potri.001G015700	AT5G12970	ATMCTP5	ATMCTP5
Potra2n1c127	Potri.001G015900	AT1G73730	ATEIL3	ATEIL3
Potra2n1c128	Potri.001G016100	None	None	None
Potra2n1c132	Potri.001G016200	AT3G20810	ATJMJD5	ATJMJD5
Potra2n1c133	Potri.001G016300	AT5G12890	None	AT5G12890
Potra2n1c136	Potri.001G016500	AT5G12890	None	AT5G12890
Potra2n1c137	Potri.001G016600	AT5G12900	None	AT5G12900
Potra2n1c139	Potri.001G016800	AT5G12920	None	AT5G12920
Potra2n13c26116	Potri.001G016900	AT1G09200	ATH3.1	ATH3.1
Potra2n14c27106	Potri.001G016900	AT1G09200	ATH3.1	ATH3.1
Potra2n1c140	Potri.001G016900	AT1G09200	ATH3.1	ATH3.1
Potra2n3c6598	Potri.001G016900	AT1G09200	ATH3.1	ATH3.1
Potra2n3c6603	Potri.001G016900	AT1G09200	ATH3.1	ATH3.1
Potra2n3c6604	Potri.001G016900	AT1G09200	ATH3.1	ATH3.1
Potra2n1c141	Potri.001G017000	AT4G12070	None	AT4G12070
Potra2n1c143	Potri.001G017300	AT1G51140	ATFBH3	ATFBH3
Potra2n1c144	Potri.001G017400	AT1G76320	ATFRS4	ATFRS4
Potra2n1c145	Potri.001G017500	AT3G20820	None	AT3G20820
Potra2n227s35022	Potri.001G018100	AT2G39725	ATSDHAF1	ATSDHAF1
Potra2n19c34188	Potri.001G018100	None	None	None
Potra2n227s35021	Potri.001G018200	AT5G12950	None	AT5G12950
Potra2n3c6606	Potri.001G018200	AT5G12960	None	AT5G12960
Potra2n227s35020	Potri.001G018300	AT3G20830	ATUCNL	ATUCNL
Potra2n227s35019	Potri.001G018400	AT1G51190	ATPLT2	ATPLT2
Potra2n3c6619	Potri.001G018400	AT1G51190	ATPLT2	ATPLT2
Potra2n227s35018	Potri.001G018500	AT5G13070	None	AT5G13070
Potra2n227s35017	Potri.001G018600	AT1G51200	None	AT1G51200
Potra2n1529s37123	Potri.001G018700	AT3G20860	ATNEK5	ATNEK5
Potra2n1c148	Potri.001G018700	AT3G20860	ATNEK5	ATNEK5
Potra2n1c149	Potri.001G018800	AT3G20870	ATZTP29	ATZTP29
Potra2n638s36242	Potri.001G018800	AT3G20870	ATZTP29	ATZTP29
Potra2n638s36241	Potri.001G018900	AT3G57670	ATNTT	ATNTT
Potra2n1c150	Potri.001G018900	AT1G51220	ATWIP5	ATWIP5
Potra2n1c151	Potri.001G019000	AT5G19620	ATOEP80	ATOEP80
Potra2n1c152	Potri.001G019100	AT1G63440	ATHMA5	ATHMA5
Potra2n1c153	Potri.001G019200	AT1G21200	None	AT1G21200
Potra2n1c154	Potri.001G019400	AT5G13490	ATAAC2	ATAAC2
Potra2n1c155	Potri.001G019500	AT2G22410	ATSLO1	ATSLO1
Potra2n1c160	Potri.001G019600	AT3G63530	ATBB	ATBB
Potra2n1c161	Potri.001G019600	AT3G63530	ATBB	ATBB
Potra2n1c164	Potri.001G019900	None	None	None
Potra2n1c166	Potri.001G019900	None	None	None
Potra2n1c167	Potri.001G020200	AT4G35040	ATbZIP19	ATbZIP19
Potra2n1c168	Potri.001G020300	AT3G51950	ATC3H46	ATC3H46
Potra2n1c169	Potri.001G020400	None	None	None
Potra2n3c6632	Potri.001G020400	None	None	None
Potra2n1c170	Potri.001G020600	AT2G41560	ATACA4	ATACA4
Potra2n1c172	Potri.001G020700	AT5G13470	None	AT5G13470
Potra2n1c173	Potri.001G020800	AT2G41540	ATGPDHC1	ATGPDHC1
Potra2n1c174	Potri.001G020900	AT3G63440	ATCKX6	ATCKX6
Potra2n1c176	Potri.001G021000	AT5G13460	ATIQD11	ATIQD11
Potra2n1c177	Potri.001G021100	AT3G51940	None	AT3G51940
Potra2n1c179	Potri.001G021300	None	None	None
Potra2n1c180	Potri.001G021400	None	None	None
Potra2n1c181	Potri.001G021500	None	None	None
Potra2n1c182	Potri.001G021600	None	None	None
Potra2n1c183	Potri.001G022000	None	None	None
Potra2n1c184	Potri.001G022100	None	None	None
Potra2n1c185	Potri.001G022200	None	None	None
Potra2n1c186	Potri.001G022400	None	None	None
Potra2n1c187	Potri.001G022500	AT4G31560	ATHCF153	ATHCF153
Potra2n1c188	Potri.001G022700	AT3G08550	ATKOB1	ATKOB1
Potra2n1c190	Potri.001G022800	AT3G14460	ATLRRAC1	ATLRRAC1
Potra2n1c191	Potri.001G022800	AT3G14460	ATLRRAC1	ATLRRAC1
Potra2n1c192	Potri.001G022900	AT3G51930	None	AT3G51930
Potra2n742s36656	Potri.001G022900	AT3G51930	None	AT3G51930
Potra2n1c193	Potri.001G023000	AT3G04040	None	AT3G04040
Potra2n742s36654	Potri.001G023000	AT3G04040	None	AT3G04040
Potra2n1c195	Potri.001G023100	AT2G41430	ATERD15	ATERD15
Potra2n742s36653	Potri.001G023100	AT2G41430	ATERD15	ATERD15
Potra2n1c196	Potri.001G023200	AT4G30880	None	AT4G30880
Potra2n742s36652	Potri.001G023200	AT4G30880	None	AT4G30880
Potra2n1c197	Potri.001G023300	AT4G30880	None	AT4G30880
Potra2n514s35855	Potri.001G023300	AT4G30880	None	AT4G30880
Potra2n742s36651	Potri.001G023300	AT4G30880	None	AT4G30880
Potra2n1c198	Potri.001G023400	AT1G13750	ATPAP1	ATPAP1
Potra2n3c6648	Potri.001G023400	AT5G50400	ATPAP27	ATPAP27
Potra2n514s35854	Potri.001G023400	AT5G50400	ATPAP27	ATPAP27
Potra2n742s36650	Potri.001G023400	AT5G50400	ATPAP27	ATPAP27
Potra2n514s35861	Potri.001G023500	AT1G50420	ATSCL3	ATSCL3
Potra2n9c19700	Potri.001G023500	AT1G50420	ATSCL3	ATSCL3
Potra2n514s35860	Potri.001G023600	AT1G58170	None	AT1G58170
Potra2n514s35862	Potri.001G023600	AT1G58170	None	AT1G58170
Potra2n3c6651	Potri.001G023600	None	None	None
Potra2n514s35859	Potri.001G023800	AT3G13650	None	AT3G13650
Potra2n514s35858	Potri.001G023900	AT1G29050	ATTBL38	ATTBL38
Potra2n514s35857	Potri.001G024000	AT1G34570	None	AT1G34570
Potra2n1c199	Potri.001G024100	AT2G38800	None	AT2G38800
Potra2n514s35856	Potri.001G024100	None	None	None
Potra2n1c200	Potri.001G024200	AT2G38780	None	AT2G38780
Potra2n1c201	Potri.001G024500	AT1G63780	ATIMP4	ATIMP4
Potra2n1c202	Potri.001G024600	AT1G20780	ATSAUL1	ATSAUL1
Potra2n1c203	Potri.001G024800	AT2G38760	ATANNoneT3	ATANNoneT3
Potra2n1c204	Potri.001G024900	AT2G38750	ATANNoneT4	ATANNoneT4
Potra2n1c205	Potri.001G025100	AT3G54500	ATLNK2	ATLNK2
Potra2n16c30422	Potri.001G025300	AT1G23410	ATRPS27AA	ATRPS27AA
Potra2n12c24669	Potri.001G025300	AT2G47110	ATUBQ6	ATUBQ6
Potra2n15c28160	Potri.001G025300	AT2G47110	ATUBQ6	ATUBQ6
Potra2n18c32910	Potri.001G025400	AT3G14470	ATLRR4	ATLRR4
Potra2n1c207	Potri.001G025400	AT2G47110	ATUBQ6	ATUBQ6
Potra2n1c208	Potri.001G025500	AT3G54490	ATRPB5E	ATRPB5E
Potra2n3c6697	Potri.001G025500	AT3G54490	ATRPB5E	ATRPB5E
Potra2n1c211	Potri.001G025800	AT1G31740	ATBGAL15	ATBGAL15
Potra2n1c214	Potri.001G026100	AT3G07300	None	AT3G07300
Potra2n1c215	Potri.001G026200	AT3G61790	ATSINoneT3	ATSINoneT3
Potra2n1c216	Potri.001G026300	AT3G54470	None	AT3G54470
Potra2n1c217	Potri.001G026400	AT3G07940	None	AT3G07940
Potra2n1c218	Potri.001G026500	AT2G11890	ATTTM3	ATTTM3
Potra2n1c219	Potri.001G026600	AT5G13810	None	AT5G13810
Potra2n1c220	Potri.001G026700	AT5G59560	ATSRR1	ATSRR1
Potra2n1c222	Potri.001G026900	AT5G19420	ATPRAF9	ATPRAF9
Potra2n1c223	Potri.001G027000	AT3G57040	ATARR9	ATARR9
Potra2n3c6692	Potri.001G027000	AT3G57040	ATARR9	ATARR9
Potra2n1c224	Potri.001G027100	AT3G54450	None	AT3G54450
Potra2n1c226	Potri.001G027400	AT3G54440	None	AT3G54440
Potra2n1c227	Potri.001G027500	AT2G34930	None	AT2G34930
Potra2n1c228	Potri.001G027600	None	None	None
Potra2n1c229	Potri.001G027900	AT3G07960	ATPIP5K6	ATPIP5K6
Potra2n1c230	Potri.001G028000	AT3G27890	ATNQR	ATNQR
Potra2n1c231	Potri.001G028100	AT5G13500	ATHPAT3	ATHPAT3
Potra2n1c232	Potri.001G028200	AT5G07030	None	AT5G07030
Potra2n1c233	Potri.001G028300	AT1G08315	None	AT1G08315
Potra2n1c235	Potri.001G028400	AT3G54390	None	AT3G54390
Potra2n1c236	Potri.001G028500	AT3G06730	ATTRX z	ATTRX z
Potra2n3c6716	Potri.001G028600	AT5G13930	ATTT4	ATTT4
Potra2n19c34222	Potri.001G028700	AT3G04500	None	AT3G04500
Potra2n1c237	Potri.001G028800	AT5G13930	ATTT4	ATTT4
Potra2n1c239	Potri.001G029400	AT5G07900	ATMTERF7	ATMTERF7
Potra2n1c240	Potri.001G029500	AT3G12600	ATNUDT16	ATNUDT16
Potra2n1c241	Potri.001G029600	AT5G13530	ATKEG	ATKEG
Potra2n3c6721	Potri.001G029600	AT5G13530	ATKEG	ATKEG
Potra2n1c243	Potri.001G029700	None	None	None
Potra2n1c244	Potri.001G029800	AT5G06950	ATAHBP-1B	ATAHBP-1B
Potra2n1c245	Potri.001G029900	AT3G12260	ATNDUFA6	ATNDUFA6
Potra2n1c246	Potri.001G030000	AT2G38730	None	AT2G38730
Potra2n1c247	Potri.001G030100	AT5G06970	ATPATROL1	ATPATROL1
Potra2n1c248	Potri.001G030200	AT3G12270	ATPRMT3	ATPRMT3
Potra2n1c249	Potri.001G030300	AT5G07900	ATMTERF7	ATMTERF7
Potra2n1c250	Potri.001G030401	None	None	None
Potra2n1c251	Potri.001G030500	None	None	None
Potra2n1c252	Potri.001G030600	AT2G22590	None	AT2G22590
Potra2n1c253	Potri.001G030750	AT1G29940	ATNRPA2	ATNRPA2
Potra2n1c254	Potri.001G030900	AT3G15140	ATERI-1	ATERI-1
Potra2n1c255	Potri.001G031200	None	None	None
Potra2n1c256	Potri.001G031200	None	None	None
Potra2n1c257	Potri.001G031400	AT3G12280	ATRBR1	ATRBR1
Potra2n1c258	Potri.001G031500	AT5G22130	ATPNT1	ATPNT1
Potra2n1c259	Potri.001G031600	AT5G47530	None	AT5G47530
Potra2n1c260	Potri.001G031700	AT5G09860	ATTHO1	ATTHO1
Potra2n1c261	Potri.001G031800	AT5G06980	ATLNK4	ATLNK4
Potra2n1c262	Potri.001G031900	AT5G06990	None	AT5G06990
Potra2n1c263	Potri.001G032000	AT1G74320	ATCEK2	ATCEK2
Potra2n3c6741	Potri.001G032000	AT1G74320	ATCEK2	ATCEK2
Potra2n1c264	Potri.001G032100	AT3G28050	ATUMAMIT41	ATUMAMIT41
Potra2n1c265	Potri.001G032300	AT5G07040	ATL69	ATL69
Potra2n1c266	Potri.001G032400	AT5G06570	None	AT5G06570
Potra2n1c267	Potri.001G032500	AT5G07050	ATUMAMIT9	ATUMAMIT9
Potra2n1c269	Potri.001G032800	AT1G13710	ATCYP78A5	ATCYP78A5
Potra2n1c270	Potri.001G032900	AT3G12490	ATCYSB	ATCYSB
Potra2n1c271	Potri.001G033200	AT3G12480	ATNF-YC11	ATNF-YC11
Potra2n1c272	Potri.001G033400	AT1G15780	ATNRB4	ATNRB4
Potra2n1c273	Potri.001G033500	None	None	None
Potra2n1c274	Potri.001G033600	AT2G26920	None	AT2G26920
Potra2n1c275	Potri.001G033800	AT2G03220	ATFT1	ATFT1
Potra2n1c276	Potri.001G033900	AT2G43190	ATPOP4	ATPOP4
Potra2n1c277	Potri.001G034000	AT2G03220	ATFT1	ATFT1
Potra2n1c278	Potri.001G034000	AT1G14100	ATFUT8	ATFUT8
Potra2n1c279	Potri.001G034100	AT2G03220	ATFT1	ATFT1
Potra2n1c280	Potri.001G034200	AT5G13860	ATELC-Like	ATELC-Like
Potra2n1c281	Potri.001G034300	AT1G65440	ATGTB1	ATGTB1
Potra2n1c283	Potri.001G034500	AT5G07900	ATMTERF7	ATMTERF7
Potra2n1c284	Potri.001G034600	AT5G07900	ATMTERF7	ATMTERF7
Potra2n1c286	Potri.001G034700	AT5G07900	ATMTERF7	ATMTERF7
Potra2n1c295	Potri.001G034700	None	None	None
Potra2n1c285	Potri.001G034800	None	None	None
Potra2n1c287	Potri.001G034900	AT5G07900	ATMTERF7	ATMTERF7
Potra2n1c289	Potri.001G034900	AT5G07900	ATMTERF7	ATMTERF7
Potra2n1c290	Potri.001G035000	AT5G07900	ATMTERF7	ATMTERF7
Potra2n1c291	Potri.001G035200	AT5G07900	ATMTERF7	ATMTERF7
Potra2n1c292	Potri.001G035300	AT5G07900	ATMTERF7	ATMTERF7
Potra2n1c294	Potri.001G035500	AT4G12560	ATCPR1	ATCPR1
Potra2n1c296	Potri.001G035700	AT3G54380	ATSAC3C	ATSAC3C
Potra2n1c297	Potri.001G035800	AT3G11450	ATGLSA1	ATGLSA1
Potra2n1c299	Potri.001G035900	AT1G55200	None	AT1G55200
Potra2n1c300	Potri.001G036000	AT5G06100	ATMYB33	ATMYB33
Potra2n1c301	Potri.001G036100	AT5G06120	ATXPO7	ATXPO7
Potra2n1c302	Potri.001G036400	AT3G54360	ATNCA1	ATNCA1
Potra2n1c303	Potri.001G036600	AT5G07010	ATST2A	ATST2A
Potra2n1c304	Potri.001G036600	AT5G07010	ATST2A	ATST2A
Potra2n1c305	Potri.001G036700	AT5G07010	ATST2A	ATST2A
Potra2n1c306	Potri.001G036800	AT1G73100	ATSUVH3	ATSUVH3
Potra2n1c307	Potri.001G036900	AT1G51680	None	AT4CL1
Potra2n1c308	Potri.001G037000	AT5G23570	ATSGS3	ATSGS3
Potra2n1c309	Potri.001G037200	AT1G73110	None	AT1G73110
Potra2n1c310	Potri.001G037400	AT5G43150	None	AT5G43150
Potra2n1c311	Potri.001G037500	AT2G24530	ATADA1E	ATADA1E
Potra2n1c312	Potri.001G037700	AT5G57330	None	AT5G57330
Potra2n1c313	Potri.001G037800	AT5G05920	ATDHS	ATDHS
Potra2n1c314	Potri.001G037900	AT1G79640	None	AT1G79640
Potra2n1c315	Potri.001G037900	AT1G79640	None	AT1G79640
Potra2n1c316	Potri.001G038000	AT1G79650	ATRAD23B	ATRAD23B
Potra2n1c317	Potri.001G038100	AT1G16180	None	AT1G16180
Potra2n1c322	Potri.001G038200	AT1G16170	None	AT1G16170
Potra2n1c3359	Potri.001G038800	None	None	None
Potra2n1c323	Potri.001G039200	None	None	None
Potra2n1c324	Potri.001G039200	None	None	None
Potra2n106s34544	Potri.001G039600	None	None	None
Potra2n10c21849	Potri.001G039600	None	None	None
Potra2n1c1046	Potri.001G039600	None	None	None
Potra2n1c2989	Potri.001G039600	None	None	None
Potra2n587s36068	Potri.001G039600	None	None	None
Potra2n6c14985	Potri.001G039600	None	None	None
Potra2n7c15412	Potri.001G039600	None	None	None
Potra2n1c329	Potri.001G039900	AT1G79670	ATRFO1	ATRFO1
Potra2n320s35311	Potri.001G040000	AT1G69730	None	AT1G69730
Potra2n1c318	Potri.001G040300	AT1G16170	None	AT1G16170
Potra2n1c330	Potri.001G040400	AT5G22250	ATCAF1b	ATCAF1b
Potra2n733s36619	Potri.001G040500	AT1G16260	ATWAKL8	ATWAKL8
Potra2n1c331	Potri.001G041200	AT1G16080	None	AT1G16080
Potra2n1c333	Potri.001G041300	None	None	None
Potra2n1c334	Potri.001G041400	AT1G16070	ATTLP8	ATTLP8
Potra2n1c335	Potri.001G041500	AT1G16060	ATADAP	ATADAP
Potra2n1c337	Potri.001G041600	AT1G79710	None	AT1G79710
Potra2n1c338	Potri.001G041700	AT1G79720	None	AT1G79720
Potra2n1c339	Potri.001G041800	AT2G24100	ATASG1	ATASG1
Potra2n1c340	Potri.001G041900	AT1G80940	None	AT1G80940
Potra2n1c341	Potri.001G042000	None	None	None
Potra2n1c342	Potri.001G042100	None	None	None
Potra2n1c343	Potri.001G042200	None	None	None
Potra2n1c344	Potri.001G042300	AT1G63700	ATYDA	ATYDA
Potra2n1c347	Potri.001G042500	AT2G24130	None	AT2G24130
Potra2n1c348	Potri.001G042600	AT3G12580	ATHSP70-4	ATHSP70-4
Potra2n1c349	Potri.001G042700	AT1G16030	ATHsp70b	ATHsp70b
Potra2n1c350	Potri.001G042800	None	None	None
Potra2n1c351	Potri.001G042900	AT5G48930	ATHCT	ATHCT
Potra2n1c352	Potri.001G043000	AT4G31860	None	AT4G31860
Potra2n1c353	Potri.001G043100	AT1G80920	ATJ8	ATJ8
Potra2n1c354	Potri.001G043200	AT1G16010	ATMGT2	ATMGT2
Potra2n1c355	Potri.001G043300	AT1G80890	ATOEP9.2	ATOEP9.2
Potra2n1c356	Potri.001G043400	AT1G80500	ATTRAPPC2	ATTRAPPC2
Potra2n1c357	Potri.001G043500	AT1G80880	None	AT1G80880
Potra2n391s35518	Potri.001G043500	AT1G80880	None	AT1G80880
Potra2n391s35520	Potri.001G043600	AT5G15350	ATENODL17	ATENODL17
Potra2n1418s37063	Potri.001G043700	AT1G80870	None	AT1G80870
Potra2n1c358	Potri.001G043700	AT1G80870	None	AT1G80870
Potra2n391s35521	Potri.001G043700	AT1G80870	None	AT1G80870
Potra2n391s35522	Potri.001G043700	AT1G80870	None	AT1G80870
Potra2n391s35524	Potri.001G043700	AT1G80870	None	AT1G80870
Potra2n1032s36938	Potri.001G043800	AT2G34930	None	AT2G34930
Potra2n1c362	Potri.001G043800	AT2G34930	None	AT2G34930
Potra2n391s35516	Potri.001G043800	AT2G34930	None	AT2G34930
Potra2n391s35523	Potri.001G043800	AT2G34930	None	AT2G34930
Potra2n391s35525	Potri.001G043800	AT2G34930	None	AT2G34930
Potra2n391s35515	Potri.001G043800	AT4G23160	None	AT4G23160
Potra2n1c359	Potri.001G043900	AT5G57940	ATCNGC5	ATCNGC5
