X,baseMean,log2FoldChange,padj,timepoint,level in KNO3,description,kegg_description,atg_description,go_description,pfam_description,t_factor
Potra2n9c18949,1365.176228,-1.135415369,0.018932789,KNO3_2h_vs_KCL_2h,Downregulated,sp|F4J1Q9|AVT1I_ARATH Amino acid transporter AVT1I OS=Arabidopsis thaliana OX=3702 GN=AVT1I PE=3 SV=1,0,AT5G09220-amino acid permease 2 amino acid permease 2,0,PF01490-Transmembrane amino acid transporter protein,No
Potra2n15c29046,72.06958069,-1.106508341,0.033803769,KNO3_2h_vs_KCL_2h,Downregulated,"sp|Q8J0I8|AOX_YARLI Alternative oxidase, mitochondrial OS=Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591 GN=AOX PE=3 SV=1",0,AT3G22370-alternative oxidase 1A alternative oxidase 1A,GO:0009916-alternative oxidase activity;GO:0055114-oxidation-reduction process,PF01786-Alternative oxidase,No
Potra2n10c20373,674.3992521,-1.103349482,1.29E-10,KNO3_2h_vs_KCL_2h,Downregulated,sp|O80644|ACR9_ARATH ACT domain-containing protein ACR9 OS=Arabidopsis thaliana OX=3702 GN=ACR9 PE=2 SV=1,0,AT2G36840-ACT-like superfamily protein ACT-like superfamily protein,0,0,No
Potra2n15c28493,41.98485532,-1.093085218,0.026863689,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q5REY7|UBXN7_PONAB UBX domain-containing protein 7 OS=Pongo abelii OX=9601 GN=UBXN7 PE=2 SV=2,0,AT4G10790-UBX domain-containing protein UBX domain-containing protein,GO:0005515-protein binding,PF00789-UBX domain,No
Potra2n6c14263,136.833091,-1.073996895,1.46E-07,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q01266|YHYC_PSESN Uncharacterized protein in hyuC 3'region (Fragment) OS=Pseudomonas sp. (strain NS671) OX=29441 PE=3 SV=2,0,"AT5G03555-permease, cytosine/purines, uracil, thiamine, allantoin family protein permease, cytosine/purines, uracil, thiamine, allantoin family protein",GO:0022857-transmembrane transporter activity;GO:0016020-membrane;GO:0055085-transmembrane transport,"PF02133-Permease for cytosine/purines, uracil, thiamine, allantoin",No
Potra2n10c21465,391.420681,-1.073578425,0.020181815,KNO3_2h_vs_KCL_2h,Downregulated,None available,0,AT1G23110-fold protein fold protein,0,0,No
Potra2n16c29392,56.21948922,-1.063041505,0.04107564,KNO3_2h_vs_KCL_2h,Downregulated,sp|E7CIP7|PME_SITOR Pectinesterase OS=Sitophilus oryzae OX=7048 GN=CE8-1 PE=1 SV=1,3.1.1.11,AT1G05310-Pectin lyase-like superfamily protein Pectin lyase-like superfamily protein,GO:0042545-cell wall modification;GO:0030599-pectinesterase activity,PF01095-Pectinesterase,No
Potra2n2c5524,343.6157556,-1.062014593,0.00865071,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q0P5X1|LRIQ1_MOUSE Leucine-rich repeat and IQ domain-containing protein 1 OS=Mus musculus OX=10090 GN=Lrriq1 PE=2 SV=2,0,AT1G78230-Outer arm dynein light chain 1 protein Outer arm dynein light chain 1 protein,GO:0005515-protein binding,PF13855-Leucine rich repeat,No
Potra2n4c8686,153.1409997,-1.045013222,7.63E-05,KNO3_2h_vs_KCL_2h,Downregulated,"sp|P57624|CYSQ_BUCAI 3'(2'),5'-bisphosphate nucleotidase CysQ OS=Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) OX=107806 GN=cysQ PE=3 SV=1",0,AT4G05090-Inositol monophosphatase family protein Inositol monophosphatase family protein,GO:0046854-phosphatidylinositol phosphorylation,PF00459-Inositol monophosphatase family,No
Potra2n7c16541,571.1074881,-1.040598973,8.88E-10,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q54D75|Y2550_DICDI Probable cyclin-dependent serine/threonine-protein kinase DDB_G0292550 OS=Dictyostelium discoideum OX=44689 GN=DDB_G0292550 PE=3 SV=1,0,AT5G65530-Protein kinase superfamily protein Protein kinase superfamily protein,GO:0006468-protein phosphorylation;GO:0005524-ATP binding;GO:0004672-protein kinase activity,PF00069-Protein kinase domain,No
Potra2n2c4985,45.83442728,-1.035435638,0.008096137,KNO3_2h_vs_KCL_2h,Downregulated,sp|P50392|PA24A_DANRE Cytosolic phospholipase A2 OS=Danio rerio OX=7955 GN=pla2g4a PE=2 SV=1,0,AT4G11610-C2 calcium/lipid-binding plant phosphoribosyltransferase family protein C2 calcium/lipid-binding plant phosphoribosyltransferase family protein,0,PF00168-C2 domain;PF00168-C2 domain;PF00168-C2 domain;PF00168-C2 domain;PF08372-Plant phosphoribosyltransferase C-terminal,No
Potra2n17c31393,388.3360196,-1.030179564,0.025344417,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q21407|GPCP1_CAEEL Putative glycerophosphocholine phosphodiesterase GPCPD1 homolog 1 OS=Caenorhabditis elegans OX=6239 GN=gpcp-1 PE=3 SV=2,0,AT3G02040-senescence-related gene 3 senescence-related gene 3,GO:0006629-lipid metabolic process;GO:0008081-phosphoric diester hydrolase activity,PF03009-Glycerophosphoryl diester phosphodiesterase family,No
Potra2n8c17773,170.4651297,-1.00210565,0.003026516,KNO3_2h_vs_KCL_2h,Downregulated,None available,0,AT1G15060-alpha/beta hydrolase family protein alpha/beta hydrolase family protein,0,0,No
Potra2n7c15499,316.2936342,-1.000385418,1.17E-06,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q9FIX3|PP407_ARATH Pentatricopeptide repeat-containing protein At5g39710 OS=Arabidopsis thaliana OX=3702 GN=EMB2745 PE=2 SV=1,0,AT5G09315-vacuolar sorting protein 9 domain protein vacuolar sorting protein 9 domain protein,GO:0005515-protein binding,PF01535-PPR repeat;PF13041-PPR repeat family,No
Potra2n4c9373,111.9413987,-0.985631923,0.001907709,KNO3_2h_vs_KCL_2h,Downregulated,None available,0,AT5G61340-transmembrane protein transmembrane protein,0,0,No
Potra2n373s35470,34.13911841,-0.982176699,0.04323485,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q8C1R0|TSSK5_MOUSE Testis-specific serine/threonine-protein kinase 5 OS=Mus musculus OX=10090 GN=Tssk5 PE=2 SV=2,2.7.11.1;2.7.11.1;2.7.11.1;2.7.11.1;2.7.11.1;2.7.11.1;2.7.11.1,AT4G27290-S-locus lectin protein kinase family protein S-locus lectin protein kinase family protein,GO:0004674-protein serine/threonine kinase activity;GO:0006468-protein phosphorylation;GO:0048544-recognition of pollen;GO:0005524-ATP binding;GO:0004672-protein kinase activity,PF07714-Protein tyrosine kinase;PF00954-S-locus glycoprotein domain;PF08276-PAN-like domain;PF01453-D-mannose binding lectin,No
Potra2n13c25328,44.64648236,-0.976846277,0.013356672,KNO3_2h_vs_KCL_2h,Downregulated,None available,0,0,0,0,No
Potra2n13c26189,575.4441103,-0.974227358,0.002259615,KNO3_2h_vs_KCL_2h,Downregulated,sp|B1JFN5|CLSA_PSEPW Cardiolipin synthase A OS=Pseudomonas putida (strain W619) OX=390235 GN=clsA PE=3 SV=1,3.1.4.4;3.1.4.4,AT3G16785-phospholipase D P1 phospholipase D P1,GO:0004630-phospholipase D activity;GO:0003824-catalytic activity;GO:0048017-inositol lipid-mediated signaling;GO:0006654-phosphatidic acid biosynthetic process,PF13091-PLD-like domain;PF00614-Phospholipase D Active site motif,No
Potra2n1c2587,46.93153096,-0.956515209,0.011553363,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q8VIK2|M17L2_MOUSE Mpv17-like protein 2 OS=Mus musculus OX=10090 GN=Mpv17l2 PE=1 SV=1,0,AT2G14860-Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein,GO:0016021-integral component of membrane,PF04117-Mpv17 / PMP22 family,No
Potra2n106s34540,70.61596236,-0.950558093,0.011553363,KNO3_2h_vs_KCL_2h,Downregulated,"sp|A2XFC7|APX1_ORYSI L-ascorbate peroxidase 1, cytosolic OS=Oryza sativa subsp. indica OX=39946 GN=APX1 PE=2 SV=1",0,AT4G33420-Peroxidase superfamily protein Peroxidase superfamily protein,GO:0055114-oxidation-reduction process;GO:0004601-peroxidase activity;GO:0020037-heme binding;GO:0006979-response to oxidative stress,PF00141-Peroxidase,No
Potra2n6c14819,176.540038,-0.947954079,0.022564381,KNO3_2h_vs_KCL_2h,Downregulated,sp|A0M527|MURG_GRAFK UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase OS=Gramella forsetii (strain KT0803) OX=411154 GN=murG PE=3 SV=1,2.4.1.227,AT5G20410-monogalactosyldiacylglycerol synthase 2 monogalactosyldiacylglycerol synthase 2,"GO:0016758-transferase activity, transferring hexosyl groups;GO:0009247-glycolipid biosynthetic process",PF06925-Monogalactosyldiacylglycerol (MGDG) synthase;PF04101-Glycosyltransferase family 28 C-terminal domain,No
Potra2n5c12010,104.4613632,-0.935677824,0.029759243,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q5J6J1|SPCA_TRIRU Carboxypeptidase S1 homolog A OS=Trichophyton rubrum OX=5551 GN=SCPA PE=1 SV=1,0,AT5G23210-serine carboxypeptidase-like 34 serine carboxypeptidase-like 34,GO:0006508-proteolysis;GO:0004185-serine-type carboxypeptidase activity,PF00450-Serine carboxypeptidase,No
Potra2n14c26486,280.45298,-0.929541865,0.003237554,KNO3_2h_vs_KCL_2h,Downregulated,sp|A4W948|GHRA_ENT38 Glyoxylate/hydroxypyruvate reductase A OS=Enterobacter sp. (strain 638) OX=399742 GN=ghrA PE=3 SV=1,1.1.1.95;1.1.1.95;1.1.1.95,AT3G19480-D-3-phosphoglycerate dehydrogenase D-3-phosphoglycerate dehydrogenase,"GO:0051287-NAD binding;GO:0006564-L-serine biosynthetic process;GO:0004617-phosphoglycerate dehydrogenase activity;GO:0016616-oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;GO:0055114-oxidation-reduction process","PF02826-D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain;PF00389-D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain;PF01842-ACT domain",No
Potra2n16c30279,1088.648038,-0.924195535,0.039561276,KNO3_2h_vs_KCL_2h,Downregulated,sp|C4L3L1|GLGA_EXISA Glycogen synthase OS=Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b) OX=360911 GN=glgA PE=3 SV=1,0,AT5G01220-sulfoquinovosyldiacylglycerol 2 sulfoquinovosyldiacylglycerol 2,0,PF13439-Glycosyltransferase Family 4;PF00534-Glycosyl transferases group 1,No
Potra2n6c13117,46.17627555,-0.909841704,0.016990622,KNO3_2h_vs_KCL_2h,Downregulated,sp|O31339|CYSA_BACC1 Sulfate/thiosulfate import ATP-binding protein CysA OS=Bacillus cereus (strain ATCC 10987 / NRS 248) OX=222523 GN=cysA PE=3 SV=2,0,AT1G15520-pleiotropic drug resistance 12 pleiotropic drug resistance 12,GO:0016020-membrane;GO:0016887-ATPase activity;GO:0005524-ATP binding,PF00005-ABC transporter;PF08370-Plant PDR ABC transporter associated;PF01061-ABC-2 type transporter;PF01061-ABC-2 type transporter;PF14510-ABC-transporter N-terminal;PF00005-ABC transporter,No
Potra2n10c20369,555.8737679,-0.909318113,9.04E-09,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q01367|SP3AA_BACSU Stage III sporulation protein AA OS=Bacillus subtilis (strain 168) OX=224308 GN=spoIIIAA PE=4 SV=1,0,AT3G10420-P-loop containing nucleoside triphosphate hydrolases superfamily protein P-loop containing nucleoside triphosphate hydrolases superfamily protein,GO:0005524-ATP binding,PF00004-ATPase family associated with various cellular activities (AAA),No
Potra2n6c14765,184.0949732,-0.907205462,0.004687183,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q9JIM1|S29A1_MOUSE Equilibrative nucleoside transporter 1 OS=Mus musculus OX=10090 GN=Slc29a1 PE=1 SV=3,0,AT1G02630-Nucleoside transporter family protein Nucleoside transporter family protein,GO:0016021-integral component of membrane;GO:0005337-nucleoside transmembrane transporter activity;GO:1901642-nucleoside transmembrane transport,PF01733-Nucleoside transporter;PF01733-Nucleoside transporter,No
Potra2n10c20240,35.9959034,-0.907136875,0.044050081,KNO3_2h_vs_KCL_2h,Downregulated,None available,0,0,0,0,No
Potra2n7c15973,802.0402289,-0.904483863,1.28E-06,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q5PPS7|TM53A_XENLA Transmembrane protein 53-A OS=Xenopus laevis OX=8355 GN=tmem53-a PE=2 SV=1,0,AT3G19970-alpha/beta-Hydrolases superfamily protein alpha/beta-Hydrolases superfamily protein,0,PF05705-Eukaryotic protein of unknown function (DUF829),No
Potra2n10c20397,272.8994173,-0.902882584,0.036476468,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q9C6M2|LHTL6_ARATH Lysine histidine transporter-like 6 OS=Arabidopsis thaliana OX=3702 GN=At1g25530 PE=2 SV=1,0,AT2G39130-Transmembrane amino acid transporter family protein Transmembrane amino acid transporter family protein,0,PF01490-Transmembrane amino acid transporter protein,No
Potra2n3c7770,464.0077238,-0.895094812,5.33E-09,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q8BYI6|PCAT2_MOUSE Lysophosphatidylcholine acyltransferase 2 OS=Mus musculus OX=10090 GN=Lpcat2 PE=1 SV=1,0,AT5G47100-calcineurin B-like protein 9 calcineurin B-like protein 9,GO:0005509-calcium ion binding,PF13499-EF-hand domain pair,No
Potra2n15c28285,548.5774855,-0.884508395,0.000594606,KNO3_2h_vs_KCL_2h,Downregulated,"sp|Q42712|FATA_CORSA Oleoyl-acyl carrier protein thioesterase, chloroplastic (Fragment) OS=Coriandrum sativum OX=4047 GN=FATA PE=2 SV=1",0,AT1G08510-fatty acyl-ACP thioesterases B fatty acyl-ACP thioesterases B,GO:0006633-fatty acid biosynthetic process;GO:0016790-thiolester hydrolase activity,PF01643-Acyl-ACP thioesterase,No
Potra2n6c15012,266.4658542,-0.859257243,0.020892073,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q5L0X8|MRAY_GEOKA Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Geobacillus kaustophilus (strain HTA426) OX=235909 GN=mraY PE=3 SV=1,2.7.8.13,AT3G57220-Glycosyl transferase family 4 protein Glycosyl transferase family 4 protein,GO:0006488-dolichol-linked oligosaccharide biosynthetic process;GO:0008963-phospho-N-acetylmuramoyl-pentapeptide-transferase activity;GO:0016021-integral component of membrane;GO:0003975-UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity;GO:0006487-protein N-linked glycosylation,PF00953-Glycosyl transferase family 4,No
Potra2n9c19821,172.8900235,-0.852849606,0.00023337,KNO3_2h_vs_KCL_2h,Downregulated,None available,0,0,0,0,No
Potra2n3c6608,397.4664158,-0.851044835,1.00E-07,KNO3_2h_vs_KCL_2h,Downregulated,None available,0,0,0,0,bHLH
Potra2n1c2003,59.6705672,-0.838854053,0.014988839,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q3U481|MFS12_MOUSE Major facilitator superfamily domain-containing protein 12 OS=Mus musculus OX=10090 GN=Mfsd12 PE=1 SV=1,0,AT3G60070-Major facilitator superfamily protein Major facilitator superfamily protein,GO:0016021-integral component of membrane;GO:0015293-symporter activity;GO:0008643-carbohydrate transport,PF13347-MFS/sugar transport protein,No
Potra2n5c12042,68.41533989,-0.836535507,0.040767167,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q5PPS7|TM53A_XENLA Transmembrane protein 53-A OS=Xenopus laevis OX=8355 GN=tmem53-a PE=2 SV=1,0,AT3G19970-alpha/beta-Hydrolases superfamily protein alpha/beta-Hydrolases superfamily protein,0,PF05705-Eukaryotic protein of unknown function (DUF829),No
Potra2n5c12207,2761.596282,-0.826668035,0.000953068,KNO3_2h_vs_KCL_2h,Downregulated,sp|P55911|AROF_STRLI Phospho-2-dehydro-3-deoxyheptonate aldolase (Fragment) OS=Streptomyces lividans OX=1916 PE=3 SV=1,2.5.1.54,AT4G39980-3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 1 3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 1,GO:0003824-catalytic activity;GO:0003849-3-deoxy-7-phosphoheptulonate synthase activity;GO:0009073-aromatic amino acid family biosynthetic process,PF01474-Class-II DAHP synthetase family,No
Potra2n4c9430,93.15445985,-0.825466428,0.012550131,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q8RWD0|COL16_ARATH Zinc finger protein CONSTANS-LIKE 16 OS=Arabidopsis thaliana OX=3702 GN=COL16 PE=1 SV=2,0,AT3G02380-CONSTANS-like 2 CONSTANS-like 2,GO:0008270-zinc ion binding;GO:0005515-protein binding,PF00643-B-box zinc finger;PF06203-CCT motif,C2C2-CO-like
Potra2n2c6322,384.2135281,-0.808905773,0.020563516,KNO3_2h_vs_KCL_2h,Downregulated,sp|A7T167|GDAP2_NEMVE Protein GDAP2 homolog OS=Nematostella vectensis OX=45351 GN=gdap2 PE=3 SV=1,0,AT4G35750-SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein,0,PF13716-Divergent CRAL/TRIO domain,No
Potra2n16c29881,1109.916856,-0.800271833,0.007557815,KNO3_2h_vs_KCL_2h,Downregulated,"sp|Q8W1S1|DGDG2_ARATH Digalactosyldiacylglycerol synthase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=DGD2 PE=1 SV=1",0,AT3G11670-UDP-Glycosyltransferase superfamily protein UDP-Glycosyltransferase superfamily protein,0,PF00534-Glycosyl transferases group 1,No
Potra2n10c21596,264.8076919,-0.797434567,2.09E-06,KNO3_2h_vs_KCL_2h,Downregulated,None available,0,AT3G11920-glutaredoxin-like protein glutaredoxin-like protein,GO:0045454-cell redox homeostasis;GO:0015035-protein disulfide oxidoreductase activity;GO:0035556-intracellular signal transduction;GO:0009055-electron transfer activity,"PF00462-Glutaredoxin;PF00610-Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP);PF04784-Protein of unknown function, DUF547",No
Potra2n5c12496,404.0212584,-0.793202601,0.000706361,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q5R5T8|SVOP_PONAB Synaptic vesicle 2-related protein OS=Pongo abelii OX=9601 GN=SVOP PE=2 SV=1,0,AT5G27360-Major facilitator superfamily protein Major facilitator superfamily protein,GO:0022857-transmembrane transporter activity;GO:0016020-membrane;GO:0016021-integral component of membrane;GO:0055085-transmembrane transport,PF00083-Sugar (and other) transporter,No
Potra2n2c4395,83.9864106,-0.790593879,0.03972604,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q9VG97|GSTD3_DROME Inactive glutathione S-transferase D3 OS=Drosophila melanogaster OX=7227 GN=GstD3 PE=2 SV=1,2.5.1.18;2.5.1.18;2.5.1.18;2.5.1.18,AT1G02930-glutathione S-transferase 6 glutathione S-transferase 6,GO:0005515-protein binding,"PF02798-Glutathione S-transferase, N-terminal domain;PF00043-Glutathione S-transferase, C-terminal domain",No
Potra2n1c2227,149.1414467,-0.789373312,0.000948874,KNO3_2h_vs_KCL_2h,Downregulated,None available,0,0,GO:0005515-protein binding,0,No
Potra2n2c4887,2961.537582,-0.78897887,2.49E-05,KNO3_2h_vs_KCL_2h,Downregulated,sp|Q8N2G8|GHDC_HUMAN GH3 domain-containing protein OS=Homo sapiens OX=9606 GN=GHDC PE=1 SV=2,0,AT2G46370-Auxin-responsive GH3 family protein Auxin-responsive GH3 family protein,0,PF03321-GH3 auxin-responsive promoter,No
